Madonna Nera,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Perazzeta,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Podere San Cristoforo,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Massi di Mandorlaia,Morellino di Scansano,Tuscany,Italy,4/1/2018,4/1/2018,
Fattoria Montellori,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Inconceivable,Santa Barbara County,California,US,4/1/2018,4/1/2018,
Fanti,Brunello di Montalcino,Tuscany,Italy,4/1/2018,4/1/2018,
Poggio Nicchiaia,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Terroirs et Talents,Morgon,Beaujolais,France,4/1/2018,4/1/2018,
Healdsburg Ranches,North Coast,California,US,4/1/2018,4/1/2018,
Codirosso,Chianti,Tuscany,Italy,4/1/2018,4/1/2018,
Bargetto,Lodi,California,US,4/1/2018,4/1/2018,
Poggio alle Sughere,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Domaine Bart,Marsannay,Burgundy,France,4/1/2018,4/1/2018,
Donkey & Goat,Mendocino,California,US,4/1/2018,4/1/2018,
Palmento Costanzo,Etna,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Peachy Canyon,Adelaida District,California,US,4/1/2018,4/1/2018,
Pike Road,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Planeta,Vittoria,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Quintana de Cue,Ribera del Duero,Northern Spain,Spain,4/1/2018,4/1/2018,
Quintet,Ribbon Ridge,Oregon,US,4/1/2018,4/1/2018,
Agostino Vicentini,Soave,Veneto,Italy,4/1/2018,4/1/2018,
Marqués de Riscal,Rueda,Northern Spain,Spain,4/1/2018,4/1/2018,
Tenuta di Angoris,Isonzo del Friuli,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Viña Casas Patronales,,Limarí Valley,Chile,4/1/2018,4/1/2018,
Cantina di Soave,Venezie,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Château Coste Peyrouse,Cahors,Southwest France,France,4/1/2018,4/1/2018,
Château la Varière,Anjou,Loire Valley,France,4/1/2018,4/1/2018,
Domaine des Corbillières,Touraine,Loire Valley,France,4/1/2018,4/1/2018,
Lagar de Besada,Rías Baixas,Galicia,Spain,4/1/2018,4/1/2018,
Corkscrew,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Domaines Bunan,Mediterranée,France Other,France,4/1/2018,4/1/2018,
Patient Cottat,Val de Loire,Loire Valley,France,4/1/2018,4/1/2018,
Château Haut-Bourcier,Blaye Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Lauduc,Bordeaux Supérieur,Bordeaux,France,4/1/2018,4/1/2018,
Château Pilet,Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Tessendey,Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Praxis,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Alliance Loire,Saumur,Loire Valley,France,4/1/2018,4/1/2018,
Brady Cellars,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Capoverso,Cortona,Tuscany,Italy,4/1/2018,4/1/2018,
Château de la Vieille Tour,Bordeaux Rosé,Bordeaux,France,4/1/2018,4/1/2018,
Trabucchi d'Illasi,Valpolicella Superiore,Veneto,Italy,4/1/2018,4/1/2018,
Daniel Gehrs,Santa Barbara County,California,US,4/1/2018,4/1/2018,
Stefano Accordini,Valpolicella Classico Superiore Ripasso,Veneto,Italy,4/1/2018,4/1/2018,
Latium di Morini,Valpolicella Superiore,Veneto,Italy,4/1/2018,4/1/2018,
Line 39,Lake County,California,US,4/1/2018,4/1/2018,
Giacosa Fratelli,Barbaresco,Piedmont,Italy,4/1/2018,4/1/2018,
Guy Saget,Chinon,Loire Valley,France,4/1/2018,4/1/2018,
Horse & Plow,Dry Creek Valley,California,US,4/1/2018,4/1/2018,
Rocca Felice,Barbaresco,Piedmont,Italy,4/1/2018,4/1/2018,
Pietro Rinaldi,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Hug,Santa Maria Valley,California,US,4/1/2018,4/1/2018,
Lookout Point,Rattlesnake Hills,Washington,US,4/1/2018,4/1/2018,
Graton Ridge,Russian River Valley,California,US,4/1/2018,4/1/2018,
Olema,Sonoma County,California,US,4/1/2018,4/1/2018,
Bodegas Luis Gurpegui Muga,Extremadura,Central Spain,Spain,4/1/2018,4/1/2018,
Château Peymouton,Saint-Émilion,Bordeaux,France,4/1/2018,4/1/2018,
Château Prieuré-Lichine,Margaux,Bordeaux,France,4/1/2018,4/1/2018,
Innocent Bystander,,Marlborough,New Zealand,4/1/2018,4/1/2018,
Diwald,,Wagram,Austria,4/1/2018,4/1/2018,
MontGras,,Maipo Valley,Chile,4/1/2018,4/1/2018,
La Caña,Rías Baixas,Galicia,Spain,4/1/2018,4/1/2018,
Gemma,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
1848 Winery,,Judean Hills,Israel,4/1/2018,4/1/2018,
Ascheri,Barbera d'Alba,Piedmont,Italy,4/1/2018,4/1/2018,
Scratch,Monterey County,California,US,4/1/2018,4/1/2018,
Olivero,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Gancia,Asti,Piedmont,Italy,4/1/2018,4/1/2018,
Feliz Noche,Santa Barbara County,California,US,4/1/2018,4/1/2018,
Château de Maligny,Chablis,Burgundy,France,4/1/2018,4/1/2018,
Corte Sant' Alda,Amarone della Valpolicella,Veneto,Italy,4/1/2018,4/1/2018,
Quintarelli,Valpolicella Classico Superiore,Veneto,Italy,4/1/2018,4/1/2018,
Renaudin,Carneros,California,US,4/1/2018,4/1/2018,
Southard,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Jean-Claude Boisset,Chambolle-Musigny,Burgundy,France,4/1/2018,4/1/2018,
Louis Latour,Clos de Vougeot,Burgundy,France,4/1/2018,4/1/2018,
Barrister,Red Mountain,Washington,US,4/1/2018,4/1/2018,
Rasa,Yakima Valley,Washington,US,4/1/2018,4/1/2018,
StoneCap,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Collovray et Terrier,Mâcon-Chardonnay,Burgundy,France,4/1/2018,4/1/2018,
Hartley-Ostini,Sta. Rita Hills,California,US,4/1/2018,4/1/2018,
Albert Bichot,Savigny-lès-Beaune,Burgundy,France,4/1/2018,4/1/2018,
Jacob Williams,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Felix Solis,Valdepeñas,Central Spain,Spain,4/1/2018,4/1/2018,
Privitera,Terre Siciliane,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Sanpaolo,Irpinia,Southern Italy,Italy,4/1/2018,4/1/2018,
Twin Arches,California,California,US,4/1/2018,4/1/2018,
Jaspi,Montsant,Catalonia,Spain,4/1/2018,4/1/2018,
Colene Clemens,Chehalem Mountains,Oregon,US,4/1/2018,4/1/2018,
Fiddlehead,Happy Canyon of Santa Barbara,California,US,4/1/2018,4/1/2018,
Mas La Mola,Priorat,Catalonia,Spain,4/1/2018,4/1/2018,
WildAire,Eola-Amity Hills,Oregon,US,4/1/2018,4/1/2018,
Lujon,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Cor Cellars,Columbia Gorge (WA),Washington,US,4/1/2018,4/1/2018,
Gallo Signature Series,Napa Valley,California,US,4/1/2018,4/1/2018,
Giacomo Fenocchio,Roero,Piedmont,Italy,4/1/2018,4/1/2018,
Jax,Carneros,California,US,4/1/2018,4/1/2018,
Ansgar Clüsserath,,Mosel,Germany,4/1/2018,4/1/2018,
Plumb Cellars,Walla Walla Valley (WA),Washington,US,4/1/2018,4/1/2018,
Budimir,,Župa,Serbia,4/1/2018,4/1/2018,
City Winery of New York,Mendocino,California,US,4/1/2018,4/1/2018,
Domaine Adèle Rouzé,Quincy,Loire Valley,France,4/1/2018,4/1/2018,
Melini,Chianti Classico,Tuscany,Italy,4/1/2018,4/1/2018,
Steiner Family Vineyards,Fair Play,California,US,4/1/2018,4/1/2018,
Yazgan,,Turkey,Turkey,4/1/2018,4/1/2018,
Serena's Vineyard,Paso Robles,California,US,4/1/2018,4/1/2018,
Clos Mogador,Priorat,Catalonia,Spain,4/1/2018,4/1/2018,
Cloudlift Cellars,Horse Heaven Hills,Washington,US,4/1/2018,4/1/2018,
Domaine Jean Teiller,Menetou-Salon,Loire Valley,France,4/1/2018,4/1/2018,
Domaine Pellé,Sancerre,Loire Valley,France,4/1/2018,4/1/2018,
Fattoria di Magliano,Maremma Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Jacob Franklin,Napa Valley,California,US,4/1/2018,4/1/2018,
Lannac Saint-Jean,Cahors,Southwest France,France,4/1/2018,4/1/2018,
Notre Vin,Howell Mountain,California,US,4/1/2018,4/1/2018,
Ferrari-Carano,Russian River Valley,California,US,4/1/2018,4/1/2018,
Rinaldi,Moscato d'Asti,Piedmont,Italy,4/1/2018,4/1/2018,
L. Tramier & Fils,Juliénas,Beaujolais,France,4/1/2018,4/1/2018,
Parxet,Cava,Catalonia,Spain,4/1/2018,4/1/2018,
Quinta Foz Torto,,Douro,Portugal,4/1/2018,4/1/2018,
Château du Vieux Puit,Blaye Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Cheval Quancard,Entre-Deux-Mers,Bordeaux,France,4/1/2018,4/1/2018,
Dogliotti 1870,Moscato d'Asti,Piedmont,Italy,4/1/2018,4/1/2018,
Frank,Limestone Coast,South Australia,Australia,4/1/2018,4/1/2018,
Bridlewood,Santa Barbara County,California,US,4/1/2018,4/1/2018,
No Limit,Edna Valley,California,US,4/1/2018,4/1/2018,
Zeitgeist,Russian River Valley,California,US,4/1/2018,4/1/2018,
Caliza,Paso Robles,California,US,4/1/2018,4/1/2018,
CedarCreek,Okanagan Valley,British Columbia,Canada,4/1/2018,4/1/2018,
Cellars 33,Russian River Valley,California,US,4/1/2018,4/1/2018,
Three Sticks,Russian River Valley,California,US,4/1/2018,4/1/2018,
Domaine de Bellene,Beaune,Burgundy,France,4/1/2018,4/1/2018,
Page Mill Winery,California,California,US,4/1/2018,4/1/2018,
Pallas,Málaga,Andalucia,Spain,4/1/2018,4/1/2018,
Peri Bigogno,Vino Spumante,Italy Other,Italy,4/1/2018,4/1/2018,
Pezzi King,Alexander Valley,California,US,4/1/2018,4/1/2018,
Alegra,Ribera del Duero,Northern Spain,Spain,4/1/2018,4/1/2018,
Bersano,Moscato d'Asti,Piedmont,Italy,4/1/2018,4/1/2018,
Château Auguste,Bordeaux Supérieur,Bordeaux,France,4/1/2018,4/1/2018,
Château Haut le Valette,Blaye Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Malbat,Bordeaux Supérieur,Bordeaux,France,4/1/2018,4/1/2018,
Château Puygueraud,Francs Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Ricaud,Blaye Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Tour de Gilet,Bordeaux Supérieur,Bordeaux,France,4/1/2018,4/1/2018,
Baluarte,Rueda,Northern Spain,Spain,4/1/2018,4/1/2018,
The Magpie,Bennett Valley,California,US,4/1/2018,4/1/2018,
Les Trois Couronnes,Vacqueyras,Rhône Valley,France,4/1/2018,4/1/2018,
Manos Negras,Neuquén,Other,Argentina,4/1/2018,4/1/2018,
Michelle,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Morgante,Vino da Tavola,Italy Other,Italy,4/1/2018,4/1/2018,
Sardus Pater,Vermentino di Sardegna,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Skyhawk Lane,Edna Valley,California,US,4/1/2018,4/1/2018,
Sterling,Calistoga,California,US,4/1/2018,4/1/2018,
Christian Leperchois,Tavel,Rhône Valley,France,4/1/2018,4/1/2018,
Script & Seal,Washington,Washington,US,4/1/2018,4/1/2018,
Sterling,Napa County,California,US,4/1/2018,4/1/2018,
The Gnome Knows,Côtes de Gascogne,Southwest France,France,4/1/2018,4/1/2018,
Bodegas M,Paso Robles,California,US,4/1/2018,4/1/2018,
Cascina Val del Prete,Roero,Piedmont,Italy,4/1/2018,4/1/2018,
Couly-Dutheil,Vin Mousseux,France Other,France,4/1/2018,4/1/2018,
San Biagio,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Prinsi,Barbera d'Alba Superiore,Piedmont,Italy,4/1/2018,4/1/2018,
Produttori del Barbaresco,Langhe,Piedmont,Italy,4/1/2018,4/1/2018,
Rizzi,Barbera d'Alba,Piedmont,Italy,4/1/2018,4/1/2018,
Moncaro,Verdicchio dei Castelli di Jesi Classico Superiore,Central Italy,Italy,4/1/2018,4/1/2018,
Pittnauer,,Burgenland,Austria,4/1/2018,4/1/2018,
Preisinger,,Burgenland,Austria,4/1/2018,4/1/2018,
Santa Barbara,Verdicchio dei Castelli di Jesi Classico,Central Italy,Italy,4/1/2018,4/1/2018,
Undurraga,,Colchagua Valley,Chile,4/1/2018,4/1/2018,
Villa Bizzarri,Offida Pecorino,Central Italy,Italy,4/1/2018,4/1/2018,
Daviana,Napa Valley,California,US,4/1/2018,4/1/2018,
Dusted Valley,Ancient Lakes,Washington,US,4/1/2018,4/1/2018,
Martinez & Martinez,Horse Heaven Hills,Washington,US,4/1/2018,4/1/2018,
Paradiso di Frassina,Brunello di Montalcino,Tuscany,Italy,4/1/2018,4/1/2018,
Famiglia Cielo,Delle Venezie,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Fat Barrel,,South Africa,South Africa,4/1/2018,4/1/2018,
Pierre Gruber,Coteaux Bourguignons,Burgundy,France,4/1/2018,4/1/2018,
Georges Vigouroux,Côtes du Lot,Southwest France,France,4/1/2018,4/1/2018,
Pierre Gruber,Bourgogne,Burgundy,France,4/1/2018,4/1/2018,
Caves Campelo,,Vinho Verde,Portugal,4/1/2018,4/1/2018,
Mont Tauch,Vin de Pays d'Oc,Languedoc-Roussillon,France,4/1/2018,4/1/2018,
Château de Fesles,Rosé d'Anjou,Loire Valley,France,4/1/2018,4/1/2018,
DeLorimier,Dry Creek Valley,California,US,4/1/2018,4/1/2018,
Broke Ass,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Cescon Italo Storia e Vini,Veneto,Veneto,Italy,4/1/2018,4/1/2018,
Château Ollieux Romanis,Corbières,Languedoc-Roussillon,France,4/1/2018,4/1/2018,
La di Motte,Veneto,Veneto,Italy,4/1/2018,4/1/2018,
Woodbridge,California,California,US,4/1/2018,4/1/2018,
Mt. Jagged,Southern Fleurieu,South Australia,Australia,4/1/2018,4/1/2018,
Hawk Crest,California,California,US,4/1/2018,4/1/2018,
Riverina Estates,South Eastern Australia,Australia Other,Australia,4/1/2018,4/1/2018,
Vino Con Brio,Lodi,California,US,4/1/2018,4/1/2018,
Eola Hills,Applegate Valley,Oregon,US,4/1/2018,4/1/2018,
Kingman,Grand Valley,Colorado,US,4/1/2018,4/1/2018,
Bella Grace,Shenandoah Valley (CA),California,US,4/1/2018,4/1/2018,
Conterno Fantino,Dolcetto d'Alba,Piedmont,Italy,4/1/2018,4/1/2018,
Domaine Chavet,Menetou-Salon,Loire Valley,France,4/1/2018,4/1/2018,
Préselö,,Tokaj,Hungary,4/1/2018,4/1/2018,
Rodney Strong,Knights Valley,California,US,4/1/2018,4/1/2018,
Rubus,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Château d'Aydie,,Southwest France,France,4/1/2018,4/1/2018,
Alpataco,Patagonia,Other,Argentina,4/1/2018,4/1/2018,
Riaza,Clements Hills,California,US,4/1/2018,4/1/2018,
Spinelli,Terre di Chieti,Central Italy,Italy,4/1/2018,4/1/2018,
Cor Cellars,Columbia Gorge (OR),Oregon,US,4/1/2018,4/1/2018,
Gosalbez Orti,Vinos de Madrid,Central Spain,Spain,4/1/2018,4/1/2018,
Jean-Baptiste Thibaut,Crémant de Bourgogne,Burgundy,France,4/1/2018,4/1/2018,
Meulnart Père et Fils,Côtes de Provence,Provence,France,4/1/2018,4/1/2018,
Valley of the Moon,Russian River Valley,California,US,4/1/2018,4/1/2018,
Vigne & Vini,Primitivo di Manduria,Southern Italy,Italy,4/1/2018,4/1/2018,
Dominus,Yountville,California,US,4/1/2018,4/1/2018,
Francis Berwyn,Paso Robles,California,US,4/1/2018,4/1/2018,
Terredora,Campania,Southern Italy,Italy,4/1/2018,4/1/2018,
Borgo di Colloredo,Biferno Rosso,Southern Italy,Italy,4/1/2018,4/1/2018,
Castello Monaci,Salento,Southern Italy,Italy,4/1/2018,4/1/2018,
D'Antiche Terre,Irpinia,Southern Italy,Italy,4/1/2018,4/1/2018,
Etude,Rutherford,California,US,4/1/2018,4/1/2018,
Finca El Paso,Jumilla,Levante,Spain,4/1/2018,4/1/2018,
Trapiche,Cafayate,Other,Argentina,4/1/2018,4/1/2018,
Benincasa,Sagrantino di Montefalco,Central Italy,Italy,4/1/2018,4/1/2018,
Les Vins de Vienne,Vacqueyras,Rhône Valley,France,4/1/2018,4/1/2018,
Maison Nicolas Perrin,Saint-Joseph,Rhône Valley,France,4/1/2018,4/1/2018,
Bell,Lake County,California,US,4/1/2018,4/1/2018,
Rocca di Montemassi,Maremma,Tuscany,Italy,4/1/2018,4/1/2018,
Tabarrini,Umbria,Central Italy,Italy,4/1/2018,4/1/2018,
Les Trois Couronnes,Gigondas,Rhône Valley,France,4/1/2018,4/1/2018,
Lionel Osmin & Cie,Vin de Liqueur,France Other,France,4/1/2018,4/1/2018,
Château Tessendey,Fronsac,Bordeaux,France,4/1/2018,4/1/2018,
Cosentino,Napa Valley,California,US,4/1/2018,4/1/2018,
Damilano,Barbera d'Alba,Piedmont,Italy,4/1/2018,4/1/2018,
Fabio Motta,Bolgheri,Tuscany,Italy,4/1/2018,4/1/2018,
Fournier Père et Fils,Pouilly-sur-Loire,Loire Valley,France,4/1/2018,4/1/2018,
Gancia,Alta Langa,Piedmont,Italy,4/1/2018,4/1/2018,
Girard,Napa County,California,US,4/1/2018,4/1/2018,
Giulio Accornero e Figli,Barbera del Monferrato Superiore,Piedmont,Italy,4/1/2018,4/1/2018,
Vignoble Dauny,Sancerre,Loire Valley,France,4/1/2018,4/1/2018,
Waters Crest,New York,New York,US,4/1/2018,4/1/2018,
L'Armangia,Barbera d'Asti Superiore,Piedmont,Italy,4/1/2018,4/1/2018,
Hawthorne,Old Mission Peninsula,Michigan,US,4/1/2018,4/1/2018,
Haywood,Sonoma Valley,California,US,4/1/2018,4/1/2018,
La Gitana,Rioja,Northern Spain,Spain,4/1/2018,4/1/2018,
Marco Scolaris,Collio,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Mari,Old Mission Peninsula,Michigan,US,4/1/2018,4/1/2018,
Portal del Priorat,Montsant,Catalonia,Spain,4/1/2018,4/1/2018,
Zimri Cellars,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Encosta do Sobral,,Tejo,Portugal,4/1/2018,4/1/2018,
Hanson Vineyards,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Kudos,Eola-Amity Hills,Oregon,US,4/1/2018,4/1/2018,
Laurentide,Leelanau Peninsula,Michigan,US,4/1/2018,4/1/2018,
Macchia,Mokelumne River,California,US,4/1/2018,4/1/2018,
La Bellanotte,Collio,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Barber,Sonoma Mountain,California,US,4/1/2018,4/1/2018,
Materra Cunat Family Vineyards,Diamond Mountain District,California,US,4/1/2018,4/1/2018,
Le Vigne di Alice,Prosecco,Veneto,Italy,4/1/2018,4/1/2018,
Cavicchioli,Prosecco,Veneto,Italy,4/1/2018,4/1/2018,
Wither Hills,,Marlborough,New Zealand,4/1/2018,4/1/2018,
White Clover,,Marlborough,New Zealand,4/1/2018,4/1/2018,
Carletto,Prosecco,Veneto,Italy,4/1/2018,4/1/2018,
Opawa,,Marlborough,New Zealand,4/1/2018,4/1/2018,
Mureda,Tierra de Castilla,Central Spain,Spain,4/1/2018,4/1/2018,
Bello Family Vineyards,Rutherford,California,US,4/1/2018,4/1/2018,
Hartford Court,Russian River Valley,California,US,4/1/2018,4/1/2018,
Clearview,,Hawke's Bay,New Zealand,4/1/2018,4/1/2018,
Kaesler,South Eastern Australia,Australia Other,Australia,4/1/2018,4/1/2018,
Kavaklidere,,Aegean,Turkey,4/1/2018,4/1/2018,
Lutum,Sta. Rita Hills,California,US,4/1/2018,4/1/2018,
Pine Ridge,Carneros,California,US,4/1/2018,4/1/2018,
Babcock,Santa Maria Valley,California,US,4/1/2018,4/1/2018,
Jean-Claude Boisset,Echézeaux,Burgundy,France,4/1/2018,4/1/2018,
Diamond Creek,Diamond Mountain District,California,US,4/1/2018,4/1/2018,
Jean-Claude Boisset,Clos de Vougeot,Burgundy,France,4/1/2018,4/1/2018,
Patrick Javillier,Puligny-Montrachet,Burgundy,France,4/1/2018,4/1/2018,
Henri de Villamont,Corton Les Renardes,Burgundy,France,4/1/2018,4/1/2018,
Sean Minor,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Seguin-Manuel,Savigny-lès-Beaune,Burgundy,France,4/1/2018,4/1/2018,
Vignerons de Bel Air,Moulin-à-Vent,Beaujolais,France,4/1/2018,4/1/2018,
Albert Bichot,Mâcon-Lugny,Burgundy,France,4/1/2018,4/1/2018,
Beast,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Martín Berdugo,Rueda,Northern Spain,Spain,4/1/2018,4/1/2018,
Molino,Barbaresco,Piedmont,Italy,4/1/2018,4/1/2018,
Nine Hats,Horse Heaven Hills,Washington,US,4/1/2018,4/1/2018,
Palacio de Bornos,Rueda,Northern Spain,Spain,4/1/2018,4/1/2018,
Highflyer,Napa Valley,California,US,4/1/2018,4/1/2018,
Montaribaldi,Roero,Piedmont,Italy,4/1/2018,4/1/2018,
Jean-Michel Cazes,Médoc,Bordeaux,France,4/1/2018,4/1/2018,
Pech Merle,Alexander Valley,California,US,4/1/2018,4/1/2018,
Skuttlebutt,Margaret River,Western Australia,Australia,4/1/2018,4/1/2018,
TH,Paso Robles,California,US,4/1/2018,4/1/2018,
Woodward Canyon,Washington,Washington,US,4/1/2018,4/1/2018,
COS,Cerasuolo di Vittoria Classico,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Aleksander,Paso Robles,California,US,4/1/2018,4/1/2018,
Valori,Cerasuolo d'Abruzzo,Central Italy,Italy,4/1/2018,4/1/2018,
Lar de Sotomayor,Rioja,Northern Spain,Spain,4/1/2018,4/1/2018,
100 Percent Wine,California,California,US,4/1/2018,4/1/2018,
La Fleur Ribeyrolles,Bordeaux Supérieur,Bordeaux,France,4/1/2018,4/1/2018,
Frederico Meireles & Familia,,Douro,Portugal,4/1/2018,4/1/2018,
Finca La Estacada,Vino de la Tierra de Castilla,Central Spain,Spain,4/1/2018,4/1/2018,
Kestrel,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Pino,Oregon,Oregon,US,4/1/2018,4/1/2018,
Bodegas Gutiérrez de la Vega,Spain,Spain Other,Spain,4/1/2018,4/1/2018,
Boeckel,Crémant d'Alsace,Alsace,France,4/1/2018,4/1/2018,
Cenay,Napa Valley,California,US,4/1/2018,4/1/2018,
Failla,Anderson Valley,California,US,4/1/2018,4/1/2018,
Foundry,Sta. Rita Hills,California,US,4/1/2018,4/1/2018,
Companhia das Quintas,,Alentejo,Portugal,4/1/2018,4/1/2018,
Nicolas Maillart,Champagne,Champagne,France,4/1/2018,4/1/2018,
St. Innocent,McMinnville,Oregon,US,4/1/2018,4/1/2018,
Jacuzzi,Mendocino County,California,US,4/1/2018,4/1/2018,
L'Astore Masseria,Salento,Southern Italy,Italy,4/1/2018,4/1/2018,
Lot 205,California,California,US,4/1/2018,4/1/2018,
Madison Chase Vineyards,Napa Valley,California,US,4/1/2018,4/1/2018,
Château Roquetaillade la Grange,Graves,Bordeaux,France,4/1/2018,4/1/2018,
Gorgo,Custoza,Veneto,Italy,4/1/2018,4/1/2018,
Pietro Clementi,Amarone della Valpolicella Classico,Veneto,Italy,4/1/2018,4/1/2018,
Katherine Goldschmidt,Alexander Valley,California,US,4/1/2018,4/1/2018,
Mediterra,,Crete,Greece,4/1/2018,4/1/2018,
Medusa,Amador County,California,US,4/1/2018,4/1/2018,
Silverado,Coombsville,California,US,4/1/2018,4/1/2018,
1000 Stories,Mendocino,California,US,4/1/2018,4/1/2018,
Brian Carter Cellars,Red Mountain,Washington,US,4/1/2018,4/1/2018,
Davis Family,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Murdoch James,,Martinborough,New Zealand,4/1/2018,4/1/2018,
Napa Cellars,St. Helena,California,US,4/1/2018,4/1/2018,
Naggiar,Amador County,California,US,4/1/2018,4/1/2018,
San Martino,Aglianico del Vulture,Southern Italy,Italy,4/1/2018,4/1/2018,
Tasca d'Almerita,Contea di Sclafani,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Levo,Santa Barbara County,California,US,4/1/2018,4/1/2018,
Antichi Vigneti di Cantalupo,Colline Novaresi,Piedmont,Italy,4/1/2018,4/1/2018,
Apsara,Rutherford,California,US,4/1/2018,4/1/2018,
Capichera,Vermentino di Gallura,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Christophe Cordier,Mâcon-Milly Lamartine,Burgundy,France,4/1/2018,4/1/2018,
Domaine Michel,Viré-Clessé,Burgundy,France,4/1/2018,4/1/2018,
Ferruccio Deiana,Cannonau di Sardegna,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Henri de Villamont,Montagny,Burgundy,France,4/1/2018,4/1/2018,
Piero Mancini,Vermentino di Gallura,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Barros,,Douro,Portugal,4/1/2018,4/1/2018,
Pardevalles,Tierra de León,Northern Spain,Spain,4/1/2018,4/1/2018,
Paul Jaboulet Aîné,Vin de Pays des Portes de Méditerranée,France Other,France,4/1/2018,4/1/2018,
Fleur,North Coast,California,US,4/1/2018,4/1/2018,
G. Moulinier,Saint-Chinian,Languedoc-Roussillon,France,4/1/2018,4/1/2018,
Talamonti,Trebbiano d'Abruzzo,Central Italy,Italy,4/1/2018,4/1/2018,
Jean Stodden,,Ahr,Germany,4/1/2018,4/1/2018,
Cantine del Notaio,Basilicata,Southern Italy,Italy,4/1/2018,4/1/2018,
Château Bel Enclos,Blaye Côtes de Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château de Fontenille,Entre-Deux-Mers,Bordeaux,France,4/1/2018,4/1/2018,
Château La Maroutine,Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Château Montet,Bordeaux Supérieur,Bordeaux,France,4/1/2018,4/1/2018,
Feudi di San Gregorio,Primitivo di Manduria,Southern Italy,Italy,4/1/2018,4/1/2018,
Tenimenti Montagnana,Montepulciano d'Abruzzo,Central Italy,Italy,4/1/2018,4/1/2018,
Olivier Leflaive,Montrachet,Burgundy,France,4/1/2018,4/1/2018,
Horsepower,Walla Walla Valley (WA),Washington,US,4/1/2018,4/1/2018,
Roche de Bellene,Charmes-Chambertin,Burgundy,France,4/1/2018,4/1/2018,
Roche de Bellene,Corton,Burgundy,France,4/1/2018,4/1/2018,
Olivier Leflaive,Bâtard-Montrachet,Burgundy,France,4/1/2018,4/1/2018,
Roche de Bellene,Echézeaux,Burgundy,France,4/1/2018,4/1/2018,
Roche de Bellene,Clos Saint-Denis,Burgundy,France,4/1/2018,4/1/2018,
Olivier Leflaive,Chevalier-Montrachet,Burgundy,France,4/1/2018,4/1/2018,
Giovanni Almondo,Roero,Piedmont,Italy,4/1/2018,4/1/2018,
Hard Row To Hoe,Lake Chelan,Washington,US,4/1/2018,4/1/2018,
Pavlidis,,Drama,Greece,4/1/2018,4/1/2018,
